,Unnamed: 0,GEO_ID,NAME,County,POPUNI,PRED0_E,PRED12_E,PRED3_E,Total_Population_E,Cases,Deaths,0_mortality_rate,1_2_mortality_rate,3_mortality_rate,fatality_rate
0,0,0500000US01001,"Autauga County, Alabama",Autauga County,55688,20573,22750,12365,55380,39746.00000000003,909.0,0.04418412482379818,0.039956043956043956,0.07351395066720583,0.022870225934685233
1,1,0500000US01003,"Baldwin County, Alabama",Baldwin County,221898,78622,90552,52724,212830,76970.00000000004,957.9999999999998,0.01218488463788761,0.010579556497923843,0.018170093316136858,0.012446407691308291
2,2,0500000US01005,"Barbour County, Alabama",Barbour County,22023,5024,9171,7828,25361,24625.00000000001,155.00000000000003,0.030851910828025485,0.016901101297568426,0.019800715380684727,0.006294416243654821
3,3,0500000US01007,"Bibb County, Alabama",Bibb County,20393,6280,8986,5127,22493,13636.000000000002,103.0,0.01640127388535032,0.011462274649454707,0.020089721084454847,0.007553534760926957
4,4,0500000US01009,"Blount County, Alabama",Blount County,57697,18189,23950,15558,57681,19311.000000000004,82.00000000000001,0.00450821925339491,0.0034237995824634663,0.005270600334233193,0.004246284501061571
5,5,0500000US01011,"Bullock County, Alabama",Bullock County,8600,2074,3534,2992,10248,23372.999999999996,649.9999999999999,0.31340405014464795,0.18392756083757777,0.2172459893048128,0.0278098660847987
6,6,0500000US01013,"Butler County, Alabama",Butler County,19410,5431,7643,6336,19828,45049.00000000001,1972.0,0.36310071809979744,0.2580138688996467,0.31123737373737376,0.04377455659393104
7,7,0500000US01015,"Calhoun County, Alabama",Calhoun County,111694,35169,44189,32336,114618,34663.99999999993,420.9999999999999,0.011970769711962237,0.009527257914865687,0.013019544779811971,0.012145165012693306
8,8,0500000US01017,"Chambers County, Alabama",Chambers County,33117,9457,12798,10862,33660,52972.000000000015,2801.000000000001,0.2961827217933807,0.21886232223784974,0.2578714785490702,0.052876991618213395
9,9,0500000US01019,"Cherokee County, Alabama",Cherokee County,26116,7374,11044,7698,25903,7493.999999999995,402.0,0.05451586655817738,0.03639985512495473,0.05222135619641465,0.0536429143314652
10,10,0500000US01021,"Chilton County, Alabama",Chilton County,44257,12461,20344,11452,44055,21086.00000000004,232.99999999999991,0.018698338817109375,0.011453008257963032,0.02034579112818721,0.011049985772550482
11,11,0500000US01023,"Choctaw County, Alabama",Choctaw County,12553,2830,5421,4302,12925,15758.999999999998,792.9999999999998,0.28021201413427554,0.14628297362110307,0.18433286843328678,0.050320451805317586
12,12,0500000US01025,"Clarke County, Alabama",Clarke County,23522,5797,10278,7447,24128,20102.99999999999,380.00000000000006,0.06555114714507505,0.03697217357462542,0.051027259299046605,0.018902651345570325
13,13,0500000US01027,"Clay County, Alabama",Clay County,13159,3217,5728,4214,13337,5675.999999999995,194.00000000000003,0.06030463164438919,0.033868715083798885,0.04603701945894638,0.0341789992952784
14,14,0500000US01029,"Cleburne County, Alabama",Cleburne County,14819,5228,6006,3585,14916,3414.000000000001,101.00000000000004,0.01931905126243306,0.016816516816516823,0.028172942817294294,0.029584065612185125
15,15,0500000US01031,"Coffee County, Alabama",Coffee County,52203,17942,21267,12994,51662,31217.999999999975,170.00000000000006,0.00947497491918404,0.007993605115907278,0.013082961366784674,0.005445576270100589
16,16,0500000US01033,"Colbert County, Alabama",Colbert County,55083,18099,22141,14843,54771,32011.000000000007,470.00000000000006,0.02596828554063761,0.021227586829863154,0.031664757798288756,0.014682452906813281
17,17,0500000US01035,"Conecuh County, Alabama",Conecuh County,12022,3630,4119,4273,12394,12318.999999999998,310.00000000000006,0.08539944903581269,0.075260985676135,0.07254856073016618,0.025164380225667676
18,18,0500000US01037,"Coosa County, Alabama",Coosa County,10511,2829,4131,3551,10757,5205.999999999995,118.00000000000004,0.04171085189112762,0.028564512224642954,0.03323007603491975,0.022666154437187887
19,19,0500000US01039,"Covington County, Alabama",Covington County,36877,10089,15065,11723,37200,24045.999999999996,553.0000000000001,0.05481217167211816,0.03670760039827415,0.04717222553953767,0.022997587956416876
20,20,0500000US01041,"Crenshaw County, Alabama",Crenshaw County,13772,3542,5703,4527,13844,10229.000000000007,229.00000000000009,0.06465273856578206,0.04015430475188499,0.05058537662911422,0.022387330139798604
21,21,0500000US01043,"Cullman County, Alabama",Cullman County,83277,25997,36832,20448,82853,34358.99999999992,252.00000000000003,0.00969342616455745,0.006841876629018246,0.012323943661971832,0.007334322884833686
22,22,0500000US01045,"Dale County, Alabama",Dale County,49090,14114,21082,13894,49277,22666.99999999997,182.0,0.0128949978744509,0.008632957024950195,0.013099179501943285,0.008029293686857557
23,23,0500000US01047,"Dallas County, Alabama",Dallas County,36952,9377,14920,12655,39149,54297.99999999987,710.9999999999998,0.07582382425082647,0.04765415549597854,0.05618332674832081,0.013094404950458608
24,24,0500000US01049,"DeKalb County, Alabama",DeKalb County,71306,22907,28714,19685,71310,53133.00000000014,465.99999999999983,0.02034312655520146,0.016229017204151278,0.02367284734569468,0.008770443980200602
25,25,0500000US01051,"Elmore County, Alabama",Elmore County,77512,29122,30362,18028,81144,62231.00000000005,1264.0000000000005,0.043403612389258994,0.041630986101047374,0.07011315731084981,0.020311420353200164
26,26,0500000US01053,"Escambia County, Alabama",Escambia County,34309,9184,14358,10767,37057,24384.0,543.9999999999998,0.059233449477351895,0.03788828527650089,0.05052475155567937,0.022309711286089228
27,27,0500000US01055,"Etowah County, Alabama",Etowah County,101051,31759,41321,27971,102748,57751.99999999996,1311.9999999999995,0.041311124405680265,0.031751409694828286,0.046905723785349095,0.022717827954010256
28,28,0500000US01057,"Fayette County, Alabama",Fayette County,16197,4306,6815,5076,16494,5070.999999999996,106.99999999999996,0.024849047840222935,0.015700660308143793,0.02107959022852639,0.02110037467955039
29,29,0500000US01059,"Franklin County, Alabama",Franklin County,31274,8663,13728,8883,31466,62993.99999999996,915.9999999999995,0.10573704259494396,0.06672494172494169,0.10311831588427328,0.014541067403244755
30,30,0500000US01061,"Geneva County, Alabama",Geneva County,26218,8808,9731,7679,26417,6329.999999999999,12.0,0.0013623978201634877,0.0012331723358339328,0.0015627034770152363,0.0018957345971563984
31,31,0500000US01063,"Greene County, Alabama",Greene County,8111,1533,3266,3312,8324,13564.999999999998,547.0,0.3568166992824527,0.16748315982853643,0.1651570048309179,0.04032436417250277
32,32,0500000US01065,"Hale County, Alabama",Hale County,14597,3431,6341,4825,14809,22407.999999999996,1248.0000000000005,0.3637423491693385,0.196814382589497,0.2586528497409327,0.055694394858978966
33,33,0500000US01067,"Henry County, Alabama",Henry County,17135,4737,6961,5437,17133,10470.999999999996,248.99999999999997,0.0525649145028499,0.03577072259732796,0.04579731469560419,0.023779963709292338
34,34,0500000US01069,"Houston County, Alabama",Houston County,105267,34095,42801,28371,104702,40061.00000000005,591.9999999999999,0.017363249743364128,0.013831452536155694,0.020866377639138553,0.014777464366840546
35,35,0500000US01071,"Jackson County, Alabama",Jackson County,51420,15272,23252,12896,51852,22306.000000000004,327.0,0.0214117338920901,0.014063306382246689,0.025356699751861042,0.014659732807316415
36,36,0500000US01073,"Jefferson County, Alabama",Jefferson County,648693,223785,259699,165209,659680,386927.0000000009,11961.999999999993,0.053453091136581955,0.046061016792517465,0.0724052563722315,0.030915392309143495
37,37,0500000US01075,"Lamar County, Alabama",Lamar County,13753,4016,5802,3935,13885,5775.0,38.99999999999999,0.009711155378486054,0.006721820062047568,0.00991105463786531,0.006753246753246752
38,38,0500000US01077,"Lauderdale County, Alabama",Lauderdale County,91069,29027,38198,23844,92556,33497.00000000007,441.0,0.015192751576118785,0.011545107073668778,0.018495218922999497,0.013165358091769384
39,39,0500000US01079,"Lawrence County, Alabama",Lawrence County,32816,10383,11619,10814,33058,8822.999999999998,1.0,9.631127805065973e-05,8.606592649969878e-05,9.24727205474385e-05,0.00011334013374135784
40,40,0500000US01081,"Lee County, Alabama",Lee County,160116,61304,69187,29625,161152,104395.0,3562.9999999999995,0.0581201879159598,0.051498113807507184,0.1202700421940928,0.03412998706834618
41,41,0500000US01083,"Limestone County, Alabama",Limestone County,96560,35386,41676,19498,94727,33882.99999999995,169.0,0.004775900073475386,0.004055091659468279,0.008667555646732997,0.004987751970014469
42,42,0500000US01085,"Lowndes County, Alabama",Lowndes County,9692,1711,4388,3593,10079,31796.000000000025,1439.0,0.8410286382232612,0.3279398359161349,0.40050097411633734,0.045257265064787985
43,43,0500000US01087,"Macon County, Alabama",Macon County,16594,3591,6940,6063,18708,13686.999999999993,593.0000000000002,0.16513505987190205,0.08544668587896256,0.09780636648523837,0.043325783590268174
44,44,0500000US01089,"Madison County, Alabama",Madison County,366657,146806,145829,74022,362276,124037.99999999996,865.9999999999999,0.005898941460158303,0.005938462171447379,0.011699224554862067,0.006981731404892051
45,45,0500000US01091,"Marengo County, Alabama",Marengo County,18794,4654,7296,6844,19321,22875.999999999996,812.0,0.17447357112161582,0.1112938596491228,0.11864406779661017,0.035495716034271735
46,46,0500000US01093,"Marion County, Alabama",Marion County,29285,8302,13290,7693,29866,20719.000000000047,1242.0000000000002,0.14960250542038067,0.09345372460496616,0.16144546990770833,0.05994497803948055
47,47,0500000US01095,"Marshall County, Alabama",Marshall County,96357,30492,40133,25732,95643,120354.99999999996,1121.9999999999998,0.036796536796536786,0.02795704283258166,0.04360329550753924,0.009322421170703338
48,48,0500000US01097,"Mobile County, Alabama",Mobile County,409100,130178,172950,105972,414114,328738.00000000006,12358.00000000001,0.09493155525511231,0.07145417750795033,0.1166157098101386,0.03759224671318803
49,49,0500000US01099,"Monroe County, Alabama",Monroe County,20678,5156,7683,7839,21270,14215.000000000007,230.99999999999997,0.04480217222653219,0.030066380320187422,0.029468044393417523,0.01625043967639816
50,50,0500000US01101,"Montgomery County, Alabama",Montgomery County,219377,66055,92203,61119,226941,270419.0,6634.999999999998,0.10044659753235936,0.07196078218713055,0.10855871332973377,0.024535997840388426
51,51,0500000US01103,"Morgan County, Alabama",Morgan County,118554,36978,52282,29294,119213,71925.99999999984,336.99999999999994,0.00911352696197739,0.006445813090547415,0.0115040622653103,0.0046853710758279436
