,GEO_ID,County,State,POPUNI,zero_risk,one_two_risk,three_plus_risk,Total_Population_E,Cases,Deaths,Risk_Index,Risk_Cat,0_mortality_rate,1_2_mortality_rate,3_mortality_rate,fatality_rate,Above Average,Below Average,High,Low,Very high,Very low
0,0500000US01001,Autauga County,AL,55688,20573,22750,12365,55380,39746.00000000003,909.0,65.42,Above Average,0.04418412482379818,0.039956043956043956,0.07351395066720583,0.022870225934685233,1,0,0,0,0,0
1,0500000US01003,Baldwin County,AL,221898,78622,90552,52724,212830,76970.00000000004,957.9999999999998,68.39,Above Average,0.01218488463788761,0.010579556497923843,0.018170093316136858,0.012446407691308291,1,0,0,0,0,0
2,0500000US01005,Barbour County,AL,22023,5024,9171,7828,25361,24625.00000000001,155.00000000000003,97.09,High,0.030851910828025485,0.016901101297568426,0.019800715380684727,0.006294416243654821,0,0,1,0,0,0
3,0500000US01007,Bibb County,AL,20393,6280,8986,5127,22493,13636.000000000002,103.0,83.36,Above Average,0.01640127388535032,0.011462274649454707,0.020089721084454847,0.007553534760926957,1,0,0,0,0,0
4,0500000US01009,Blount County,AL,57697,18189,23950,15558,57681,19311.000000000004,82.00000000000001,81.75,Above Average,0.00450821925339491,0.0034237995824634663,0.005270600334233193,0.004246284501061571,1,0,0,0,0,0
5,0500000US01011,Bullock County,AL,8600,2074,3534,2992,10248,23372.999999999996,649.9999999999999,99.01,Very high,0.31340405014464795,0.18392756083757777,0.2172459893048128,0.0278098660847987,0,0,0,0,1,0
6,0500000US01013,Butler County,AL,19410,5431,7643,6336,19828,45049.00000000001,1972.0,99.44,Very high,0.36310071809979744,0.2580138688996467,0.31123737373737376,0.04377455659393104,0,0,0,0,1,0
7,0500000US01015,Calhoun County,AL,111694,35169,44189,32336,114618,34663.99999999993,420.9999999999999,91.49,High,0.011970769711962237,0.009527257914865687,0.013019544779811971,0.012145165012693306,0,0,1,0,0,0
8,0500000US01017,Chambers County,AL,33117,9457,12798,10862,33660,52972.000000000015,2801.000000000001,98.7,Very high,0.2961827217933807,0.21886232223784974,0.2578714785490702,0.052876991618213395,0,0,0,0,1,0
9,0500000US01019,Cherokee County,AL,26116,7374,11044,7698,25903,7493.999999999995,402.0,90.01,High,0.05451586655817738,0.03639985512495473,0.05222135619641465,0.0536429143314652,0,0,1,0,0,0
10,0500000US01021,Chilton County,AL,44257,12461,20344,11452,44055,21086.00000000004,232.99999999999991,90.84,High,0.018698338817109375,0.011453008257963032,0.02034579112818721,0.011049985772550482,0,0,1,0,0,0
11,0500000US01023,Choctaw County,AL,12553,2830,5421,4302,12925,15758.999999999998,792.9999999999998,99.2,Very high,0.28021201413427554,0.14628297362110307,0.18433286843328678,0.050320451805317586,0,0,0,0,1,0
12,0500000US01025,Clarke County,AL,23522,5797,10278,7447,24128,20102.99999999999,380.00000000000006,97.8,High,0.06555114714507505,0.03697217357462542,0.051027259299046605,0.018902651345570325,0,0,1,0,0,0
13,0500000US01027,Clay County,AL,13159,3217,5728,4214,13337,5675.999999999995,194.00000000000003,93.6,High,0.06030463164438919,0.033868715083798885,0.04603701945894638,0.0341789992952784,0,0,1,0,0,0
14,0500000US01029,Cleburne County,AL,14819,5228,6006,3585,14916,3414.000000000001,101.00000000000004,84.44,Above Average,0.01931905126243306,0.016816516816516823,0.028172942817294294,0.029584065612185125,1,0,0,0,0,0
15,0500000US01031,Coffee County,AL,52203,17942,21267,12994,51662,31217.999999999975,170.00000000000006,82.96,Above Average,0.00947497491918404,0.007993605115907278,0.013082961366784674,0.005445576270100589,1,0,0,0,0,0
16,0500000US01033,Colbert County,AL,55083,18099,22141,14843,54771,32011.000000000007,470.00000000000006,81.5,Above Average,0.02596828554063761,0.021227586829863154,0.031664757798288756,0.014682452906813281,1,0,0,0,0,0
17,0500000US01035,Conecuh County,AL,12022,3630,4119,4273,12394,12318.999999999998,310.00000000000006,99.94,Very high,0.08539944903581269,0.075260985676135,0.07254856073016618,0.025164380225667676,0,0,0,0,1,0
18,0500000US01037,Coosa County,AL,10511,2829,4131,3551,10757,5205.999999999995,118.00000000000004,99.07,Very high,0.04171085189112762,0.028564512224642954,0.03323007603491975,0.022666154437187887,0,0,0,0,1,0
19,0500000US01039,Covington County,AL,36877,10089,15065,11723,37200,24045.999999999996,553.0000000000001,86.51,High,0.05481217167211816,0.03670760039827415,0.04717222553953767,0.022997587956416876,0,0,1,0,0,0
20,0500000US01041,Crenshaw County,AL,13772,3542,5703,4527,13844,10229.000000000007,229.00000000000009,96.29,High,0.06465273856578206,0.04015430475188499,0.05058537662911422,0.022387330139798604,0,0,1,0,0,0
21,0500000US01043,Cullman County,AL,83277,25997,36832,20448,82853,34358.99999999992,252.00000000000003,91.37,High,0.00969342616455745,0.006841876629018246,0.012323943661971832,0.007334322884833686,0,0,1,0,0,0
22,0500000US01045,Dale County,AL,49090,14114,21082,13894,49277,22666.99999999997,182.0,85.43,High,0.0128949978744509,0.008632957024950195,0.013099179501943285,0.008029293686857557,0,0,1,0,0,0
23,0500000US01047,Dallas County,AL,36952,9377,14920,12655,39149,54297.99999999987,710.9999999999998,98.58,Very high,0.07582382425082647,0.04765415549597854,0.05618332674832081,0.013094404950458608,0,0,0,0,1,0
24,0500000US01049,DeKalb County,AL,71306,22907,28714,19685,71310,53133.00000000014,465.99999999999983,56.88,Above Average,0.02034312655520146,0.016229017204151278,0.02367284734569468,0.008770443980200602,1,0,0,0,0,0
